2025-02-09 16:41:52,143 - Alert: Anomaly detected at row 5 - {'src_port': 1.6139632385428184, 'dst_port': -1.283332489284329, 'timestamp': -1.5008079132838719, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 1.0458743690327656, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,144 - Alert: Anomaly detected at row 7 - {'src_port': 1.8931674991485454, 'dst_port': -1.283332489284329, 'timestamp': -1.4314673618095441, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 0.5079865547352226, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,144 - Alert: Anomaly detected at row 8 - {'src_port': -0.7736864433059613, 'dst_port': 1.358687404270661, 'timestamp': -1.4301625958143456, 'packet_size': -0.31847540060414453, 'inter_arrival_time': -0.09583206617992536, 'packet_rate': -1.2645618643358583, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,144 - Alert: Anomaly detected at row 9 - {'src_port': 1.110398411378918, 'dst_port': -1.2670325942953684, 'timestamp': -1.4093886673820328, 'packet_size': -0.26014349221584626, 'inter_arrival_time': 0.09642955472400737, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,144 - Alert: Anomaly detected at row 10 - {'src_port': -0.7572333350916952, 'dst_port': 0.5832075517655677, 'timestamp': -1.408003756055434, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 1.838031248891405, 'packet_rate': -1.2611738582335785, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,144 - Alert: Anomaly detected at row 14 - {'src_port': 0.9537539430910297, 'dst_port': -1.283332489284329, 'timestamp': -1.362097544362589, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 0.3018951223187001, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,144 - Alert: Anomaly detected at row 21 - {'src_port': 0.9558389099721764, 'dst_port': -1.283332489284329, 'timestamp': -1.2926969097430436, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 0.5065891651851877, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,144 - Alert: Anomaly detected at row 23 - {'src_port': -0.7736864433059613, 'dst_port': 0.430985391951308, 'timestamp': -1.2911178915944592, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 0.5096401436259921, 'packet_rate': -1.2450808292477493, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,145 - Alert: Anomaly detected at row 25 - {'src_port': 0.9541165460268812, 'dst_port': -1.283332489284329, 'timestamp': -1.2493073390161695, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 0.2814759448096593, 'packet_rate': 1.1680265171010245, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,145 - Alert: Anomaly detected at row 30 - {'src_port': -0.7736864433059613, 'dst_port': 0.4280217746805879, 'timestamp': -1.2479466781156523, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 0.27924354352431274, 'packet_rate': -1.2450808292477493, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,145 - Alert: Anomaly detected at row 33 - {'src_port': -0.7736864433059613, 'dst_port': 1.0823525454220018, 'timestamp': -1.2476302333232843, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 2.0949100356807926, 'packet_rate': -1.2637148628102883, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
