00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 34.120.237.76, 41648, 443, PA, 1739118698.8589873, 304
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 34.120.237.76, 172.18.106.165, 443, 41648, A, 1739118698.8729658, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 34.120.237.76, 172.18.106.165, 443, 41648, PA, 1739118698.873901, 151
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 34.120.237.76, 41648, 443, PA, 1739118698.8743556, 105
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 34.120.237.76, 172.18.106.165, 443, 41648, A, 1739118698.891282, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 34.107.221.82, 52758, 80, A, 1739118700.083446, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 34.107.221.82, 172.18.106.165, 80, 52758, A, 1739118700.0982015, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.10.239.251, 58918, 80, A, 1739118700.7229023, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 23.10.239.251, 172.18.106.165, 80, 58918, A, 1739118700.7349348, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 34.120.237.76, 41648, 443, PA, 1739118700.9265113, 304
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 34.120.237.76, 172.18.106.165, 443, 41648, A, 1739118700.9392827, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 34.120.237.76, 172.18.106.165, 443, 41648, PA, 1739118700.9407809, 151
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 34.120.237.76, 41648, 443, PA, 1739118700.9414272, 105
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 34.120.237.76, 172.18.106.165, 443, 41648, A, 1739118700.9586408, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.55.108.24, 38192, 80, A, 1739118701.3626285, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.55.108.24, 38224, 80, A, 1739118701.3631027, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.55.108.24, 38200, 80, A, 1739118701.3634086, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 34.107.221.82, 52764, 80, A, 1739118701.3639247, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 142.251.42.3, 40188, 80, A, 1739118701.3642848, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.55.108.24, 38188, 80, A, 1739118701.3646624, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 23.55.108.24, 172.18.106.165, 80, 38188, A, 1739118701.375993, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.55.108.24, 38238, 80, A, 1739118702.0026388, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.55.108.24, 38258, 80, A, 1739118702.0031993, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 23.55.108.24, 172.18.106.165, 80, 38258, A, 1739118702.0172005, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 23.55.108.24, 172.18.106.165, 80, 38238, A, 1739118702.0181112, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.55.108.24, 38200, 80, A, 1739118702.402776, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 142.251.42.3, 40188, 80, A, 1739118702.4031513, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.55.108.24, 38192, 80, A, 1739118702.4035869, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 23.55.108.24, 38224, 80, A, 1739118702.4040782, 66
00:15:5d:0f:e6:79, 00:15:5d:77:a9:bb, TCP, 172.18.106.165, 34.107.221.82, 52764, 80, A, 1739118702.4044628, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 23.55.108.24, 172.18.106.165, 80, 38192, A, 1739118702.415324, 66
00:15:5d:77:a9:bb, 00:15:5d:0f:e6:79, TCP, 23.55.108.24, 172.18.106.165, 80, 38224, A, 1739118702.4160702, 66
