Source MAC,Destination MAC,Protocol,Source IP,Destination IP,Source Port,Destination Port,TCP Flags,Timestamp,Packet Length
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599363.9422731,168
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599363.9435613,2206
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599363.945045,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599363.9460163,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599363.9471254,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,PA,1731599364.1621442,93
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,A,1731599364.1631868,54
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,PA,1731599364.3933113,154
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,A,1731599364.3948593,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599364.4075243,89
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599364.4087074,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59762,RA,1731599364.978816,60
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599366.0525362,173
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599366.054996,7354
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,PA,1731599366.056037,1116
